Date,0700.HK,0005.HK,0016.HK,0857.HK,0941.HK,0241.HK,0175.HK,1099.HK,1299.HK,0027.HK
2022-01-03,418.3384704589844,46.849998474121094,94.55000305175781,3.4800000190734863,47.099998474121094,6.230000019073486,21.299999237060547,17.399999618530273,79.0,40.45000076293945
2022-01-04,414.83538818359375,47.79999923706055,94.69999694824219,3.4600000381469727,48.0,6.230000019073486,21.25,17.8799991607666,79.44999694824219,41.25
2022-01-05,396.9513854980469,49.150001525878906,94.5999984741211,3.509999990463257,49.599998474121094,5.769999980926514,19.8799991607666,17.81999969482422,78.5999984741211,39.29999923706055
2022-01-06,402.85125732421875,49.0,93.69999694824219,3.490000009536743,49.150001525878906,5.869999885559082,19.899999618530273,17.68000030517578,79.75,40.54999923706055
2022-01-07,408.3824157714844,50.099998474121094,94.0999984741211,3.7100000381469727,49.70000076293945,6.28000020980835,19.440000534057617,17.700000762939453,81.0,40.349998474121094
2022-01-10,417.78533935546875,51.70000076293945,95.0,3.7200000286102295,50.29999923706055,6.960000038146973,19.600000381469727,18.079999923706055,80.0,40.54999923706055
2022-01-11,424.053955078125,51.95000076293945,95.0999984741211,3.700000047683716,50.45000076293945,7.03000020980835,18.899999618530273,18.239999771118164,78.5999984741211,40.900001525878906
2022-01-12,443.22857666015625,52.75,94.75,3.819999933242798,50.79999923706055,7.289999961853027,20.0,18.299999237060547,81.4000015258789,41.79999923706055
2022-01-13,438.0661926269531,53.650001525878906,94.4000015258789,3.890000104904175,51.04999923706055,6.78000020980835,20.100000381469727,18.299999237060547,82.69999694824219,40.650001525878906
2022-01-14,436.4068298339844,54.54999923706055,94.4000015258789,3.869999885559082,50.79999923706055,6.889999866485596,20.0,18.299999237060547,84.5,42.04999923706055
2022-01-17,429.21636962890625,55.0,94.4000015258789,3.9000000953674316,50.54999923706055,6.599999904632568,19.399999618530273,18.34000015258789,83.19999694824219,45.0
2022-01-18,417.4165954589844,54.54999923706055,94.55000305175781,3.9700000286102295,50.599998474121094,6.550000190734863,19.239999771118164,18.399999618530273,82.30000305175781,44.400001525878906
2022-01-19,420.1821594238281,54.70000076293945,94.69999694824219,4.019999980926514,50.29999923706055,6.489999771118164,18.920000076293945,18.5,83.8499984741211,44.5
2022-01-20,447.9155578613281,54.400001525878906,95.05000305175781,3.950000047683716,50.5,6.980000019073486,19.219999313354492,18.34000015258789,88.69999694824219,45.5
2022-01-21,450.9548645019531,53.25,97.5,3.9000000953674316,51.25,6.940000057220459,19.440000534057617,18.6200008392334,88.80000305175781,46.25
2022-01-24,446.0160217285156,53.29999923706055,97.05000305175781,3.9200000762939453,52.29999923706055,6.849999904632568,18.760000228881836,18.639999389648438,88.05000305175781,45.95000076293945
