Date,7203.T,6758.T,8306.T,4502.T,3382.T,9432.T,1802.T,9501.T,3407.T,5401.T
2022-01-04,2234.5,14970.0,646.7000122070312,3213.0,1730.0,127.72000122070312,899.0,299.0,1096.5,1909.0
2022-01-05,2292.0,15520.0,663.7000122070312,3199.0,1748.0,130.63999938964844,915.0,298.0,1121.0,1953.5
2022-01-06,2284.5,14455.0,663.0,3175.0,1715.6666259765625,132.1199951171875,903.0,297.0,1112.0,1960.5
2022-01-07,2307.5,14540.0,685.7999877929688,3196.0,1705.6666259765625,131.8000030517578,898.0,294.0,1121.5,2022.0
2022-01-11,2322.0,14405.0,701.4000244140625,3275.0,1673.0,132.27999877929688,902.0,298.0,1123.0,2048.5
2022-01-12,2359.5,14520.0,704.0,3344.0,1696.0,132.44000244140625,911.0,297.0,1150.5,2062.0
2022-01-13,2412.0,14470.0,714.2000122070312,3363.0,1640.3333740234375,131.1999969482422,910.0,295.0,1147.5,2166.5
2022-01-14,2390.0,14190.0,707.7999877929688,3344.0,1720.3333740234375,130.8800048828125,905.0,294.0,1138.0,2190.5
2022-01-17,2423.0,14235.0,715.5,3380.0,1731.0,131.32000732421875,930.0,294.0,1146.5,2175.5
2022-01-18,2423.5,14230.0,703.9000244140625,3362.0,1730.0,129.63999938964844,924.0,294.0,1142.0,2021.5
2022-01-19,2303.0,12410.0,690.7000122070312,3305.0,1698.3333740234375,128.75999450683594,916.0,285.0,1123.0,1929.0
2022-01-20,2342.5,13135.0,684.2999877929688,3325.0,1745.3333740234375,130.0,916.0,291.0,1140.5,1931.5
2022-01-21,2284.5,12955.0,674.7000122070312,3323.0,1746.6666259765625,130.47999572753906,928.0,297.0,1141.5,1904.5
2022-01-24,2278.5,12835.0,685.7999877929688,3340.0,1753.6666259765625,130.63999938964844,932.0,301.0,1147.5,1896.5
2022-01-25,2236.5,12480.0,673.5999755859375,3282.0,1761.0,131.36000061035156,927.0,304.0,1129.5,1836.0
2022-01-26,2221.5,12620.0,682.0999755859375,3308.0,1777.6666259765625,128.8000030517578,926.0,307.0,1114.5,1870.0
2022-01-27,2163.0,11770.0,682.0,3287.0,1772.0,127.55999755859375,917.0,309.0,1079.0,1838.0
2022-01-28,2237.0,12235.0,700.5999755859375,3327.0,1810.0,129.60000610351562,929.0,323.0,1120.0,1804.5
2022-01-31,2245.5,12720.0,691.0999755859375,3328.0,1864.3333740234375,130.67999267578125,926.0,306.0,1121.0,1855.5
2022-02-01,2227.0,12770.0,698.5999755859375,3305.0,1946.0,132.0399932861328,915.0,330.0,1086.0,1833.5
2022-02-02,2273.5,13400.0,719.0,3325.0,1943.3333740234375,131.32000732421875,927.0,335.0,1117.0,1902.0
2022-02-03,2293.5,12585.0,719.2999877929688,3325.0,1978.3333740234375,133.52000427246094,938.0,355.0,1127.0,1907.5
2022-02-04,2277.5,12600.0,725.7000122070312,3384.0,1928.6666259765625,134.47999572753906,934.0,354.0,1117.5,1938.0
2022-02-07,2275.5,12660.0,740.2999877929688,3443.0,1931.3333740234375,133.9600067138672,942.0,357.0,1116.0,1967.0
2022-02-08,2296.0,12525.0,751.5999755859375,3498.0,1916.6666259765625,134.36000061035156,959.0,360.0,1086.0,2009.5
2022-02-09,2317.5,12580.0,752.4000244140625,3474.0,1890.0,131.67999267578125,947.0,360.0,1113.5,2057.0
2022-02-10,2254.0,12855.0,746.0999755859375,3520.0,1897.0,131.8800048828125,976.0,365.0,1144.5,2073.5
2022-02-14,2182.0,12495.0,753.7000122070312,3499.0,1901.3333740234375,131.9199981689453,974.0,366.0,1129.0,2044.0
2022-02-15,2153.5,12210.0,734.0999755859375,3485.0,1944.0,131.39999389648438,975.0,355.0,1122.0,1981.0
2022-02-16,2192.5,12335.0,745.7999877929688,3535.0,1948.0,132.9199981689453,978.0,363.0,1142.5,2033.5
