Date,BARC.L,BP.L,BHP.L,AZN.L,VOD.L,TSCO.L,RR.L,NG.L,ULVR.L,BBY.L
2022-01-04,196.66000366210938,351.0,2221.0,8473.0,115.31999969482422,293.95001220703125,127.08000183105469,1078.0,3996.0,271.20001220703125
2022-01-05,197.9199981689453,354.79998779296875,2267.0,8460.0,114.30000305175781,296.70001220703125,128.5399932861328,1063.5999755859375,3959.0,273.6000061035156
2022-01-06,200.4499969482422,355.1499938964844,2245.0,8356.0,113.9800033569336,292.29998779296875,126.27999877929688,1054.4000244140625,3917.5,273.20001220703125
2022-01-07,205.25,362.54998779296875,2305.5,8399.0,114.5999984741211,289.04998779296875,127.13999938964844,1053.800048828125,3934.5,270.20001220703125
2022-01-10,207.89999389648438,363.04998779296875,2261.0,8334.0,117.45999908447266,292.45001220703125,127.66000366210938,1053.4000244140625,3966.5,265.79998779296875
2022-01-11,207.0,,2273.5,8476.0,116.0999984741211,292.29998779296875,127.0,1049.800048828125,3942.0,265.20001220703125
2022-01-12,211.8000030517578,381.45001220703125,2375.0,8479.0,117.0999984741211,292.25,126.87999725341797,1054.4000244140625,3902.0,264.20001220703125
2022-01-13,217.10000610351562,383.8999938964844,2401.5,8449.0,117.77999877929688,289.70001220703125,127.69999694824219,1066.5999755859375,3903.0,267.79998779296875
2022-01-14,215.5,388.70001220703125,2378.5,8544.0,118.27999877929688,285.0,125.23999786376953,1081.0,3936.5,265.79998779296875
2022-01-17,214.8000030517578,393.75,2412.5,8770.0,118.87999725341797,289.45001220703125,125.9000015258789,1080.5999755859375,3662.0,272.20001220703125
2022-01-18,209.8000030517578,395.75,2415.0,8727.0,121.5,289.54998779296875,125.66000366210938,1086.5999755859375,3516.5,275.6000061035156
2022-01-19,206.9499969482422,394.1000061035156,2473.5,8733.0,120.86000061035156,287.8500061035156,123.13999938964844,1089.0,3675.5,270.20001220703125
2022-01-20,205.5500030517578,389.1499938964844,2502.5,8842.0,119.91999816894531,287.29998779296875,123.72000122070312,1092.199951171875,3655.5,265.20001220703125
2022-01-21,199.24000549316406,382.25,2423.5,8752.0,117.54000091552734,288.75,119.72000122070312,1083.800048828125,3675.0,260.6000061035156
2022-01-24,190.36000061035156,364.1000061035156,2333.5,8316.0,122.86000061035156,288.20001220703125,113.0,1079.0,3943.5,253.60000610351562
2022-01-25,196.6999969482422,379.6499938964844,2328.5,8459.0,125.5199966430664,291.45001220703125,115.83999633789062,1081.199951171875,3936.0,253.1999969482422
2022-01-26,202.1999969482422,394.1000061035156,2398.0,8481.0,124.22000122070312,295.79998779296875,117.68000030517578,1074.199951171875,3831.0,253.39999389648438
2022-01-27,203.5500030517578,392.5,2443.0,8836.0,126.08000183105469,300.0,115.5,1097.199951171875,3847.5,255.39999389648438
2022-01-28,196.8800048828125,385.45001220703125,2382.5,8767.0,127.62000274658203,303.3999938964844,113.0199966430664,1092.0,3786.5,253.8000030517578
2022-01-31,197.22000122070312,382.79998779296875,2091.587890625,8617.0,130.02000427246094,297.0,114.5,1079.5999755859375,3787.5,251.60000610351562
2022-02-01,201.10000610351562,393.29998779296875,2113.421630859375,8509.0,127.95999908447266,300.0,117.22000122070312,1092.5999755859375,3749.0,255.60000610351562
2022-02-02,203.0500030517578,389.54998779296875,2143.27587890625,8582.0,132.32000732421875,302.0,115.19999694824219,1104.800048828125,3782.5,259.0
2022-02-03,204.4499969482422,392.3999938964844,2152.187744140625,8358.0,133.5800018310547,297.04998779296875,116.66000366210938,1097.0,3803.5,257.79998779296875
