Date,TCS.NS,INFY.NS,RELIANCE.NS,HDFCBANK.NS,LT.NS,HINDUNILVR.NS,ASIANPAINT.NS,COALINDIA.NS,NTPC.NS,TATAMOTORS.NS
2012-01-02,589.2999877929688,351.1187438964844,323.0108947753906,213.4250030517578,448.4666748046875,402.3999938964844,259.0299987792969,312.1499938964844,131.7916717529297,181.99789428710938
2012-01-03,598.7999877929688,358.0375061035156,331.2856140136719,219.5749969482422,471.4888916015625,407.95001220703125,265.2300109863281,327.20001220703125,133.625,191.8917694091797
2012-01-04,586.5,356.79998779296875,327.3996887207031,221.64999389648438,475.4888916015625,395.45001220703125,267.4949951171875,326.70001220703125,133.4583282470703,199.06483459472656
2012-01-05,586.0,355.01873779296875,319.7878723144531,221.8249969482422,483.4666748046875,393.3500061035156,267.1700134277344,320.54998779296875,130.6666717529297,199.9552764892578
2012-01-06,584.7000122070312,354.01873779296875,328.03973388671875,226.64999389648438,480.6666564941406,396.79998779296875,266.05999755859375,318.04998779296875,130.7916717529297,201.43936157226562
2012-01-09,585.6749877929688,354.5687561035156,322.8737487792969,227.85000610351562,483.6000061035156,393.45001220703125,267.57501220703125,313.8999938964844,130.7916717529297,198.47119140625
2012-01-10,582.7000122070312,357.95001220703125,336.56585693359375,229.85000610351562,503.9111022949219,395.45001220703125,265.6549987792969,318.04998779296875,131.6666717529297,202.92344665527344
2012-01-11,568.5,353.32501220703125,342.0747375488281,231.3249969482422,509.8222351074219,392.5,272.0299987792969,320.3999938964844,133.0833282470703,202.72557067871094
2012-01-12,544.75,323.53125,336.8858947753906,233.3249969482422,503.022216796875,394.04998779296875,273.6300048828125,325.6499938964844,134.0416717529297,204.0117645263672
2012-01-13,542.875,323.0249938964844,334.5543518066406,234.8000030517578,521.111083984375,391.6499938964844,277.2049865722656,343.79998779296875,138.5,206.5841827392578
2012-01-16,554.7000122070312,330.01873779296875,325.936767578125,230.25,534.111083984375,386.3500061035156,274.8550109863281,340.79998779296875,134.875,211.4816436767578
2012-01-17,551.9749755859375,332.7562561035156,339.24029541015625,234.1999969482422,563.2888793945312,397.6000061035156,273.55999755859375,351.75,139.3333282470703,215.09291076660156
2012-01-18,538.0750122070312,326.5062561035156,356.4754638671875,240.9499969482422,551.3777465820312,392.25,272.3800048828125,339.79998779296875,137.0833282470703,211.58058166503906
