Date,TCS.NS,INFY.NS,RELIANCE.NS,HDFCBANK.NS,LT.NS,HINDUNILVR.NS,ASIANPAINT.NS,COALINDIA.NS,NTPC.NS,TATAMOTORS.NS
2022-01-03,3817.75,1898.449951171875,2218.752685546875,1519.6500244140625,1922.8499755859375,2361.300048828125,3422.39990234375,155.3000030517578,126.0,497.6000061035156
2022-01-04,3884.75,1899.1500244140625,2268.825439453125,1528.550048828125,1937.550048828125,2401.25,3459.300048828125,153.0,132.89999389648438,489.6000061035156
2022-01-05,3860.949951171875,1844.6500244140625,2279.43994140625,1564.8499755859375,1948.5999755859375,2415.800048828125,3526.800048828125,153.6999969482422,132.0,489.75
2022-01-06,3807.449951171875,1817.800048828125,2230.4287109375,1539.75,1924.5,2391.39990234375,3514.64990234375,154.64999389648438,130.89999389648438,488.8500061035156
2022-01-07,3853.5,1814.300048828125,2248.42724609375,1550.550048828125,1904.9000244140625,2416.14990234375,3576.300048828125,156.9499969482422,131.35000610351562,490.6000061035156
2022-01-10,3879.85009765625,1850.75,2250.273193359375,1559.1500244140625,1953.0999755859375,2407.050048828125,3553.5,160.6999969482422,131.85000610351562,503.70001220703125
2022-01-11,3915.89990234375,1855.5999755859375,2266.471923828125,1565.9000244140625,1961.1500244140625,2403.64990234375,3538.75,158.5500030517578,132.3000030517578,501.29998779296875
2022-01-12,3859.89990234375,1877.449951171875,2326.974365234375,1556.6500244140625,1974.199951171875,2413.14990234375,3543.800048828125,159.35000610351562,133.85000610351562,507.25
2022-01-13,3897.89990234375,1896.800048828125,2340.0810546875,1528.0,2018.4000244140625,2414.199951171875,3456.25,164.75,134.9499969482422,511.95001220703125
2022-01-14,3968.14990234375,1929.3499755859375,2343.49609375,1545.1500244140625,2044.75,2363.699951171875,3364.39990234375,164.75,135.35000610351562,509.8999938964844
2022-01-17,4019.14990234375,1939.5,2355.725830078125,1521.5,2069.39990234375,2389.550048828125,3378.64990234375,163.6999969482422,136.60000610351562,525.0
2022-01-18,3990.60009765625,1920.75,2327.62060546875,1529.25,2022.199951171875,2369.5,3373.699951171875,160.8000030517578,135.0,510.79998779296875
2022-01-19,3914.64990234375,1867.050048828125,2327.43603515625,1518.449951171875,2020.9000244140625,2309.89990234375,3280.39990234375,163.89999389648438,134.8000030517578,520.8499755859375
2022-01-20,3826.550048828125,1823.699951171875,2286.685546875,1509.0,2003.5,2261.800048828125,3306.39990234375,165.0500030517578,134.89999389648438,515.7000122070312
2022-01-21,3833.5,1785.699951171875,2287.0546875,1521.5999755859375,1956.050048828125,2325.39990234375,3274.85009765625,158.75,134.10000610351562,501.8500061035156
2022-01-24,3771.35009765625,1736.800048828125,2194.801025390625,1486.6500244140625,1899.9000244140625,2284.60009765625,3155.14990234375,156.3000030517578,132.60000610351562,478.45001220703125
2022-01-25,3769.89990234375,1722.1500244140625,2190.509033203125,1488.050048828125,1925.300048828125,2327.25,3147.10009765625,161.14999389648438,135.3000030517578,490.54998779296875
2022-01-27,3649.25,1678.5999755859375,2158.0654296875,1474.949951171875,1910.8499755859375,2295.35009765625,3116.949951171875,160.5500030517578,135.0,494.3999938964844
2022-01-28,3690.050048828125,1686.199951171875,2155.98876953125,1463.25,1897.550048828125,2283.550048828125,3110.85009765625,161.64999389648438,140.14999389648438,497.29998779296875
2022-01-31,3736.25,1736.199951171875,2202.8310546875,1485.699951171875,1909.199951171875,2273.75,3152.25,159.8000030517578,142.0500030517578,517.75
2022-02-01,3800.64990234375,1772.050048828125,2195.539306640625,1497.0,1990.5,2305.64990234375,3196.25,163.0500030517578,141.14999389648438,504.29998779296875
2022-02-02,3856.199951171875,1787.0999755859375,2200.015869140625,1531.199951171875,1982.699951171875,2327.89990234375,3197.699951171875,163.85000610351562,141.14999389648438,506.3999938964844
2022-02-03,3824.60009765625,1738.550048828125,2171.58740234375,1515.3499755859375,1933.6500244140625,2298.14990234375,3203.0,161.3000030517578,136.64999389648438,504.5
2022-02-04,3814.89990234375,1741.0999755859375,2151.7890625,1524.0,1947.949951171875,2306.60009765625,3236.64990234375,160.39999389648438,134.1999969482422,500.6000061035156
2022-02-07,3779.0,1715.0,2138.6826171875,1468.1500244140625,1884.5,2257.60009765625,3174.699951171875,160.9499969482422,135.14999389648438,494.6000061035156
2022-02-08,3743.449951171875,1717.300048828125,2174.63330078125,1461.8499755859375,1875.5999755859375,2264.35009765625,3216.35009765625,159.9499969482422,135.0,492.75
2022-02-09,3760.550048828125,1737.300048828125,2199.9697265625,1497.5999755859375,1888.800048828125,2277.64990234375,3228.35009765625,168.60000610351562,135.0500030517578,501.25
2022-02-10,3770.35009765625,1769.5999755859375,2197.70849609375,1525.0999755859375,1901.0,2283.14990234375,3238.75,168.0500030517578,136.4499969482422,507.45001220703125
2022-02-11,3694.949951171875,1721.3499755859375,2193.41650390625,1518.8499755859375,1871.25,2258.0,3216.300048828125,166.5,137.14999389648438,498.8500061035156
2022-02-14,3733.75,1682.199951171875,2158.48095703125,1473.699951171875,1799.0,2228.550048828125,3143.449951171875,161.64999389648438,132.5,471.45001220703125
2022-02-15,3817.800048828125,1738.25,2231.76708984375,1517.800048828125,1876.050048828125,2290.10009765625,3264.60009765625,163.64999389648438,135.35000610351562,504.0
2022-02-16,3813.10009765625,1733.300048828125,2227.152099609375,1515.75,1860.699951171875,2286.5,3252.85009765625,163.85000610351562,133.1999969482422,498.45001220703125
2022-02-17,3784.199951171875,1724.800048828125,2255.349609375,1506.5,1868.699951171875,2307.550048828125,3265.85009765625,163.0500030517578,132.75,499.95001220703125
