Date,AMZN,META,GOOG,BA,TSLA,AAPL,WMT,NFLX,XOM,JNJ
2022-01-03,170.4044952392578,338.5400085449219,145.07449340820312,207.86000061035156,399.9266662597656,182.00999450683594,48.21666717529297,597.3699951171875,63.540000915527344,171.5399932861328
2022-01-04,167.52200317382812,336.5299987792969,144.41650390625,213.6300048828125,383.1966552734375,179.6999969482422,47.33333206176758,591.1500244140625,65.93000030517578,171.0800018310547
2022-01-05,164.35699462890625,324.1700134277344,137.65350341796875,213.07000732421875,362.7066650390625,174.9199981689453,47.973331451416016,567.52001953125,66.75,172.22000122070312
2022-01-06,163.25399780273438,332.4599914550781,137.55099487304688,211.33999633789062,354.8999938964844,172.0,47.84000015258789,553.2899780273438,68.31999969482422,171.6300048828125
2022-01-07,162.5540008544922,331.7900085449219,137.00450134277344,215.5,342.32000732421875,172.1699981689453,48.29666519165039,541.0599975585938,68.87999725341797,173.9499969482422
2022-01-10,161.48599243164062,328.07000732421875,138.57400512695312,209.30999755859375,352.7066650390625,172.19000244140625,48.20333480834961,539.8499755859375,68.47000122070312,173.08999633789062
2022-01-11,165.36199951171875,334.3699951171875,140.0175018310547,216.02000427246094,354.79998779296875,175.0800018310547,48.06666564941406,540.8400268554688,71.3499984741211,171.25
2022-01-12,165.20700073242188,333.260009765625,141.6479949951172,217.4499969482422,368.739990234375,175.52999877929688,47.813331604003906,537.219970703125,71.13999938964844,169.7899932861328
2022-01-13,161.21400451660156,326.4800109863281,139.13099670410156,223.89999389648438,343.85333251953125,172.19000244140625,48.4900016784668,519.2000122070312,70.62999725341797,168.75999450683594
2022-01-14,162.13800048828125,331.8999938964844,139.7864990234375,225.9600067138672,349.8699951171875,173.07000732421875,48.35333251953125,525.6900024414062,71.87000274658203,167.83999633789062
2022-01-18,158.91749572753906,318.1499938964844,136.29049682617188,225.00999450683594,343.5033264160156,169.8000030517578,47.50666809082031,510.79998779296875,73.08000183105469,167.10000610351562
2022-01-19,156.2989959716797,319.5899963378906,135.65199279785156,217.0800018310547,331.8833312988281,166.22999572753906,47.97999954223633,515.8599853515625,73.11000061035156,166.5800018310547
2022-01-20,151.66749572753906,316.55999755859375,133.50650024414062,214.19000244140625,332.0899963378906,164.50999450683594,47.073333740234375,508.25,73.2699966430664,165.25
2022-01-21,142.64300537109375,303.1700134277344,130.0919952392578,205.44000244140625,314.6333312988281,162.41000366210938,46.72999954223633,397.5,72.16999816894531,164.8699951171875
2022-01-24,144.54400634765625,308.7099914550781,130.3719940185547,204.1999969482422,310.0,161.6199951171875,46.733333587646484,387.1499938964844,72.79000091552734,162.97000122070312
2022-01-25,139.98599243164062,300.1499938964844,126.7354965209961,204.10000610351562,306.1333312988281,159.77999877929688,45.71666717529297,366.4200134277344,74.93000030517578,167.6300048828125
2022-01-26,138.87249755859375,294.6300048828125,129.24000549316406,194.27000427246094,312.4700012207031,159.69000244140625,45.25,359.70001220703125,74.16999816894531,168.3800048828125
2022-01-27,139.6374969482422,294.6400146484375,129.12100219726562,189.75,276.3666687011719,159.22000122070312,45.279998779296875,386.70001220703125,75.12000274658203,170.58999633789062
2022-01-28,143.97799682617188,301.7099914550781,133.2895050048828,190.57000732421875,282.1166687011719,170.3300018310547,45.84000015258789,384.3599853515625,75.27999877929688,171.7899932861328
2022-01-31,149.57350158691406,313.260009765625,135.69850158691406,200.24000549316406,312.239990234375,174.77999877929688,46.60333251953125,427.1400146484375,75.95999908447266,172.2899932861328
2022-02-01,151.19349670410156,319.0,137.8784942626953,208.33999633789062,310.4166564941406,174.61000061035156,46.970001220703125,457.1300048828125,80.83000183105469,170.8800048828125
2022-02-02,150.6125030517578,323.0,148.0364990234375,207.52000427246094,301.88665771484375,175.83999633789062,46.95000076293945,429.4800109863281,80.62000274658203,172.77000427246094
2022-02-03,138.8455047607422,237.75999450683594,142.65049743652344,206.38999938964844,297.0466613769531,172.89999389648438,46.996665954589844,405.6000061035156,79.68000030517578,172.75999450683594
2022-02-04,157.63949584960938,237.08999633789062,143.01600646972656,206.4499969482422,307.7733459472656,172.38999938964844,46.44333267211914,410.1700134277344,81.41000366210938,171.6300048828125
2022-02-07,157.9355010986328,224.91000366210938,138.93800354003906,211.9199981689453,302.4466552734375,171.66000366210938,45.98666763305664,402.1000061035156,82.38999938964844,171.05999755859375
2022-02-08,161.4134979248047,220.17999267578125,139.21299743652344,213.27000427246094,307.3333435058594,174.8300018310547,45.996665954589844,403.5299987792969,80.26000213623047,171.50999450683594
