Date,AMZN,META,GOOG,BA,TSLA,AAPL,WMT,NFLX,XOM,JNJ
2012-01-03,8.951499938964844,,16.573129653930664,74.22000122070312,1.871999979019165,14.686785697937012,20.110000610351562,10.319999694824219,86.0,65.87999725341797
2012-01-04,8.875499725341797,,16.644611358642578,74.33000183105469,1.8473329544067383,14.765713691711426,19.90333366394043,11.492856979370117,86.0199966430664,65.4800033569336
2012-01-05,8.880499839782715,,16.413726806640625,73.52999877929688,1.8079999685287476,14.929642677307129,19.80666732788086,11.328571319580078,85.76000213623047,65.4000015258789
2012-01-06,9.130499839782715,,16.189817428588867,73.9800033569336,1.7940000295639038,15.085714340209961,19.666667938232422,12.327142715454102,85.12000274658203,64.83000183105469
2012-01-09,8.928000450134277,,15.503389358520508,74.52999877929688,1.8166669607162476,15.061785697937012,19.726667404174805,14.025713920593262,85.5,64.93000030517578
2012-01-10,8.967000007629395,,15.520325660705566,75.0,1.841333031654358,15.115714073181152,19.68000030517578,13.6899995803833,85.72000122070312,65.19999694824219
2012-01-11,8.944999694824219,,15.59056282043457,74.73999786376953,1.8819999694824219,15.091071128845215,19.799999237060547,13.164285659790039,85.08000183105469,65.12999725341797
2012-01-12,8.796500205993652,,15.682218551635742,75.51000213623047,1.8833329677581787,15.049642562866211,19.833332061767578,13.164285659790039,84.73999786376953,65.2300033569336
2012-01-13,8.920999526977539,,15.56640338897705,74.5999984741211,1.519333004951477,14.993213653564453,19.84666633605957,13.482856750488281,84.87999725341797,65.26000213623047
2012-01-17,9.083000183105469,,15.655817985534668,75.23999786376953,1.773332953453064,15.16785717010498,19.950000762939453,13.531429290771484,85.69000244140625,65.12000274658203
2012-01-18,9.472000122070312,,15.763664245605469,75.05999755859375,1.7873330116271973,15.325357437133789,20.003332138061523,14.077142715454102,86.44999694824219,65.27999877929688
2012-01-19,9.72249984741211,,15.92954158782959,75.55999755859375,1.784000039100647,15.276785850524902,20.203332901000977,14.779999732971191,87.02999877929688,65.19000244140625
2012-01-20,9.546500205993652,,14.595044136047363,75.5199966430664,1.773332953453064,15.010713577270508,20.336666107177734,14.319999694824219,87.48999786376953,65.2699966430664
2012-01-23,9.304499626159668,,14.583337783813477,75.51000213623047,1.7846670150756836,15.264642715454102,20.303333282470703,13.422857284545898,87.47000122070312,65.0
2012-01-24,9.350000381469727,,14.469017028808594,75.36000061035156,1.8279999494552612,15.014642715454102,20.463333129882812,13.238571166992188,87.18000030517578,65.0
2012-01-25,9.390000343322754,,14.18408489227295,75.81999969482422,1.8646670579910278,15.952142715454102,20.489999771118164,13.577142715454102,87.22000122070312,65.22000122070312
2012-01-26,9.666000366210938,,14.149463653564453,75.30999755859375,1.929332971572876,15.879643440246582,20.323333740234375,16.572856903076172,86.7699966430664,65.69999694824219
2012-01-27,9.768500328063965,,14.445355415344238,74.55000305175781,1.9553329944610596,15.974286079406738,20.23666763305664,17.68428611755371,85.83000183105469,65.55999755859375
2012-01-30,9.607500076293945,,14.38831901550293,74.16000366210938,1.9713330268859863,16.17892837524414,20.433332443237305,17.91857147216797,85.48999786376953,65.70999908447266
