Date,7203.T,6758.T,8306.T,4502.T,3382.T,9432.T,1802.T,9501.T,3407.T,5401.T
2012-01-04,528.7999877929688,1404.0,338.0,3410.0,716.0,40.150001525878906,345.0,185.0,475.0,1950.0
2012-01-05,528.7999877929688,1373.0,334.0,3380.0,716.6666870117188,39.70000076293945,343.0,181.0,469.0,1910.0
2012-01-06,527.5999755859375,1345.0,333.0,3330.0,714.0,39.650001525878906,345.0,173.0,460.0,1850.0
2012-01-10,525.2000122070312,1344.0,332.0,3320.0,717.0,39.29999923706055,351.0,215.0,464.0,1860.0
2012-01-11,525.2000122070312,1350.0,336.0,3275.0,719.3333129882812,39.25,355.0,202.0,467.0,1860.0
2012-01-12,519.0,1319.0,333.0,3230.0,717.3333129882812,38.75,353.0,207.0,468.0,1830.0
2012-01-13,527.4000244140625,1327.0,334.0,3215.0,720.6666870117188,39.25,357.0,209.0,475.0,1870.0
2012-01-16,519.4000244140625,1297.0,325.0,3170.0,710.3333129882812,38.75,359.0,205.0,471.0,1850.0
2012-01-17,519.2000122070312,1293.0,329.0,3170.0,711.3333129882812,38.70000076293945,371.0,205.0,473.0,1880.0
2012-01-18,516.7999877929688,1304.0,328.0,3185.0,718.3333129882812,38.099998474121094,370.0,221.0,481.0,1900.0
2012-01-19,524.2000122070312,1326.0,333.0,3225.0,703.3333129882812,37.75,366.0,219.0,481.0,1900.0
2012-01-20,545.7999877929688,1367.0,350.0,3245.0,702.6666870117188,38.20000076293945,366.0,217.0,484.0,2000.0
2012-01-23,544.0,1422.0,355.0,3245.0,704.6666870117188,38.349998474121094,371.0,213.0,487.0,2030.0
2012-01-24,558.5999755859375,1388.0,357.0,3300.0,708.6666870117188,38.95000076293945,369.0,207.0,481.0,1970.0
2012-01-25,575.4000244140625,1454.0,359.0,3330.0,713.0,38.79999923706055,366.0,202.0,488.0,2020.0
2012-01-26,577.4000244140625,1434.0,356.0,3310.0,708.0,39.099998474121094,367.0,213.0,488.0,2010.0
2012-01-27,567.5999755859375,1414.0,351.0,3315.0,712.6666870117188,38.95000076293945,365.0,209.0,492.0,1940.0
2012-01-30,557.7999877929688,1388.0,352.0,3325.0,715.6666870117188,38.599998474121094,362.0,210.0,488.0,1930.0
2012-01-31,562.0,1391.0,349.0,3310.0,715.3333129882812,38.099998474121094,368.0,209.0,482.0,1870.0
2012-02-01,571.0,1364.0,359.0,3295.0,719.3333129882812,38.29999923706055,368.0,202.0,487.0,1880.0
2012-02-02,581.2000122070312,1328.0,368.0,3335.0,714.0,38.150001525878906,370.0,204.0,485.0,1900.0
2012-02-03,579.7999877929688,1435.0,369.0,3320.0,719.0,37.650001525878906,368.0,201.0,483.0,1880.0
2012-02-06,597.2000122070312,1492.0,375.0,3315.0,719.0,37.79999923706055,368.0,199.0,481.0,1910.0
2012-02-07,597.2000122070312,1513.0,380.0,3340.0,722.3333129882812,37.849998474121094,371.0,198.0,479.0,1950.0
2012-02-08,627.0,1542.0,390.0,3350.0,726.0,37.95000076293945,358.0,196.0,484.0,2060.0
2012-02-09,626.0,1544.0,396.0,3340.0,727.3333129882812,37.79999923706055,347.0,195.0,485.0,2070.0
2012-02-10,612.0,1536.0,385.0,3350.0,723.3333129882812,37.95000076293945,350.0,200.0,489.0,2020.0
2012-02-13,613.0,1512.0,387.0,3345.0,732.6666870117188,37.79999923706055,351.0,201.0,485.0,2050.0
2012-02-14,624.0,1490.0,392.0,3370.0,731.3333129882812,37.79999923706055,346.0,202.0,482.0,2050.0
2012-02-15,653.0,1575.0,408.0,3435.0,732.0,38.099998474121094,350.0,209.0,488.0,2110.0
2012-02-16,653.0,1589.0,401.0,3425.0,733.3333129882812,38.150001525878906,353.0,217.0,487.0,2080.0
2012-02-17,657.0,1623.0,406.0,3475.0,747.0,37.849998474121094,350.0,223.0,496.0,2130.0
2012-02-20,670.0,1681.0,411.0,3505.0,746.0,37.70000076293945,346.0,252.0,495.0,2240.0
2012-02-21,664.0,1657.0,407.0,3515.0,754.6666870117188,37.650001525878906,349.0,249.0,494.0,2250.0
2012-02-22,676.0,1682.0,411.0,3560.0,752.0,38.0,354.0,251.0,508.0,2280.0
2012-02-23,674.0,1690.0,409.0,3600.0,754.6666870117188,37.599998474121094,357.0,250.0,512.0,2280.0
2012-02-24,676.0,1740.0,416.0,3600.0,752.6666870117188,37.599998474121094,361.0,244.0,510.0,2360.0
2012-02-27,676.0,1760.0,420.0,3645.0,738.6666870117188,37.5,363.0,238.0,512.0,2350.0
2012-02-28,677.0,1773.0,422.0,3660.0,746.6666870117188,37.95000076293945,363.0,226.0,512.0,2330.0
2012-02-29,671.0,1737.0,420.0,3670.0,748.6666870117188,38.349998474121094,367.0,225.0,515.0,2340.0
2012-03-01,667.0,1741.0,415.0,3660.0,749.0,38.5,360.0,227.0,515.0,2270.0
2012-03-02,663.0,1749.0,415.0,3690.0,754.3333129882812,38.650001525878906,364.0,238.0,510.0,2300.0
2012-03-05,661.0,1691.0,413.0,3705.0,760.3333129882812,38.900001525878906,365.0,234.0,510.0,2240.0
2012-03-06,657.0,1678.0,408.0,3715.0,758.0,38.70000076293945,373.0,229.0,506.0,2200.0
2012-03-07,649.0,1638.0,404.0,3655.0,756.0,38.20000076293945,371.0,229.0,502.0,2200.0
2012-03-08,666.0,1648.0,415.0,3665.0,769.0,38.349998474121094,376.0,231.0,508.0,2230.0
2012-03-09,684.0,1718.0,425.0,3700.0,774.6666870117188,38.54999923706055,378.0,232.0,517.0,2330.0
2012-03-12,681.0,1715.0,419.0,3700.0,773.6666870117188,38.54999923706055,374.0,229.0,518.0,2320.0
2012-03-13,683.0,1702.0,422.0,3700.0,778.6666870117188,38.900001525878906,374.0,226.0,490.0,2330.0
2012-03-14,697.0,1790.0,433.0,3700.0,771.3333129882812,38.849998474121094,380.0,226.0,496.0,2390.0
2012-03-15,717.0,1822.0,433.0,3715.0,783.3333129882812,38.95000076293945,375.0,224.0,499.0,2390.0
2012-03-16,716.0,1832.0,439.0,3700.0,785.0,38.349998474121094,372.0,225.0,502.0,2410.0
2012-03-19,715.0,1814.0,445.0,3720.0,786.0,38.400001525878906,371.0,217.0,501.0,2400.0
2012-03-21,704.0,1733.0,434.0,3725.0,788.3333129882812,38.20000076293945,370.0,214.0,506.0,2350.0
2012-03-22,707.0,1734.0,435.0,3755.0,790.0,38.349998474121094,370.0,213.0,501.0,2320.0
2012-03-23,693.0,1680.0,426.0,3770.0,782.0,38.150001525878906,368.0,215.0,499.0,2280.0
2012-03-26,695.0,1690.0,424.0,3770.0,787.3333129882812,38.0,368.0,210.0,497.0,2280.0
2012-03-27,720.0,1742.0,442.0,3765.0,804.3333129882812,38.400001525878906,371.0,211.0,516.0,2340.0
2012-03-28,727.0,1773.0,430.0,3635.0,808.6666870117188,37.599998474121094,365.0,214.0,507.0,2340.0
2012-03-29,715.0,1746.0,420.0,3645.0,813.0,37.20000076293945,363.0,215.0,508.0,2270.0
2012-03-30,714.0,1704.0,412.0,3645.0,819.3333129882812,37.54999923706055,361.0,208.0,511.0,2270.0
2012-04-02,713.0,1717.0,426.0,3595.0,815.0,37.20000076293945,359.0,205.0,504.0,2230.0
2012-04-03,711.0,1707.0,418.0,3535.0,819.0,37.150001525878906,357.0,207.0,503.0,2230.0
